"id","ope_rat_id","event_time","event_num","event_name"
"541","78","23/1/2025 09:33:10","1","0"
"542","78","23/1/2025 09:43:25","2","0"
"543","79","23/1/2025 10:32:30","9","0"
"544","79","23/1/2025 10:36:33","0","0"
"545","79","23/1/2025 10:37:34","7","0"
"546","79","23/1/2025 10:38:15","8","0"
"547","79","23/1/2025 10:38:00","11","0"
"548","79","23/1/2025 10:39:51","7","0"
"549","79","23/1/2025 10:41:00","8","0"
"550","79","23/1/2025 10:48:05","11","0"
"551","79","23/1/2025 10:57:00","1","0"
"552","79","23/1/2025 11:14:34","2","0"
"553","80","23/1/2025 11:49:01","9","0"
"554","80","23/1/2025 11:52:30","0","0"
"555","80","23/1/2025 11:54:20","7","0"
"556","80","23/1/2025 11:56:20","8","0"
"557","80","23/1/2025 12:07:31","11","0"
"558","80","23/1/2025 12:16:00","1","0"
"559","80","23/1/2025 12:22:08","2","0"
"560","81","23/1/2025 12:28:27","9","0"
"561","81","23/1/2025 12:31:54","0","0"
"562","81","23/1/2025 12:32:16","7","0"
"563","81","23/1/2025 12:33:04","8","0"
"564","81","23/1/2025 12:33:35","5","0"
"565","81","23/1/2025 12:39:17","1","0"
"566","81","23/1/2025 12:40:23","11","0"
"567","81","23/1/2025 12:55:24","2","0"
"568","82","23/1/2025 13:44:22","9","0"
"569","82","23/1/2025 13:48:10","0","0"
"570","82","23/1/2025 13:48:28","10","0"
"571","82","23/1/2025 13:48:44","7","0"
"572","82","23/1/2025 13:49:31","8","0"
"573","82","23/1/2025 13:53:00","1","0"
"574","82","23/1/2025 13:59:01","2","0"
"575","83","23/1/2025 14:19:42","9","0"
"576","83","23/1/2025 14:24:00","0","0"
"577","83","23/1/2025 14:23:50","8","0"
"578","83","23/1/2025 14:24:05","8","0"
"579","83","23/1/2025 14:31:00","11","0"
"580","83","23/1/2025 14:30:40","5","0"
"581","83","23/1/2025 14:36:29","1","0"
"582","83","23/1/2025 14:37:20","2","0"
"583","84","24/1/2025 08:57:22","9","0"
"584","84","24/1/2025 09:00:20","0","0"
"585","84","24/1/2025 09:13:50","11","0"
"586","84","24/1/2025 09:30:31","1","0"
"587","84","24/1/2025 09:41:22","2","0"
"588","85","24/1/2025 10:13:45","9","0"
"589","85","24/1/2025 10:17:11","0","0"
"590","85","24/1/2025 10:28:17","1","0"
"591","85","24/1/2025 10:30:50","2","0"
"592","86","24/1/2025 11:32:49","9","0"
"593","86","24/1/2025 11:36:29","10","0"
"594","86","24/1/2025 11:35:50","0","0"
"595","86","24/1/2025 11:38:28","5","0"
"596","86","24/1/2025 11:41:47","1","0"
"597","86","24/1/2025 11:47:14","2","0"
"598","87","24/1/2025 12:28:41","9","0"
"599","87","24/1/2025 12:32:55","0","0"
